state,x,y
Andhra Pradesh,-116,-194
Arunachal Pradesh,233, 131
Assam,198,74
Bihar,64,54
Chhattisgarh,-32,-38
Goa,-195,-200
Gujarat,-265,-14
Haryana,-166,149
Himachal Pradesh,-144,223
Jharkhand,37,13
Karnataka,-168,-246
Kerala,-163,-325
Madhya Pradesh,-159,-8
Maharashtra,-198,-107
Manipur,253,33
Meghalaya,164,54
Mizoram,222,-3
Nagaland,264,84
Odisha,20,-70
Punjab,-178,187
Rajasthan,-223,81
Sikkim,116,106
Tamil Nadu,-120,-305
Telangana,-101,-142
Tripura,189,11
Uttar Pradesh,-67,81
Uttarakhand,-99,179
West Bengal,103,-14